supplement_id,supplement_name,relation_type,condition_id,condition_name,confidence,extraction_method,source_url,evidence_text
magnesium,Magnesium,INDICATED_FOR,heart-failure,Heart Failure,0.9,condition,,"s and within the cell membrane of cardiac and vascular tissues (60920). In patients with congestive heart failure, there is evidence magnesium reduces coronary vascular resistance, increases coronary artery blood "
magnesium,Magnesium,INDICATED_FOR,heart-disease,Heart Disease,0.9,condition,,"s also interest in the effects of magnesium on arterial stiffness, which is a predictor of coronary heart disease and stroke. In overweight adults, taking magnesium 450 mg daily as the citrate, oxide, or sulfate s"
magnesium,Magnesium,INDICATED_FOR,cerebrovascular-accident,Cerebrovascular Accident,0.9,condition,," the effects of magnesium on arterial stiffness, which is a predictor of coronary heart disease and stroke. In overweight adults, taking magnesium 450 mg daily as the citrate, oxide, or sulfate salts for 24"
magnesium,Magnesium,INDICATED_FOR,cardiovascular-disease,Cardiovascular Disease,0.9,condition,,"h CRP levels: females with high dietary magnesium intake have lower levels of CRP, which may reduce cardiovascular disease risk. The relationship is strongest in overweight or obese females (BMI >25) and current or past sm"
selenium,Selenium,TREATS_DEFICIENCY,selenium-deficiency,Selenium Deficiency,0.95,deficiency,,"scular disease, selenium may prevent the oxidative modification of low-density lipoproteins (LDLs). Selenium deficiency has been implicated in the etiology of Keshan disease, an endemic cardiomyopathy observed in China,"
selenium,Selenium,TREATS_DEFICIENCY,severe-deficiency,Severe Deficiency,0.95,deficiency,,"ina, and congestive cardiomyopathy in people on artificial nutrition (2676, 3341). In children with severe deficiency, Keshan disease may also occur (9718). Research in adults with polycystic ovary syndrome (PCOS) sho"
selenium,Selenium,TREATS_DEFICIENCY,that-deficiency,That Deficiency,0.95,deficiency,,en with selenium may decrease the transmission of AIDS (9720). There is also evidence that suggests that deficiency of selenium may increase inflammatory lung damage caused during influenza virus infection (9728). S
selenium,Selenium,INDICATED_FOR,arthritis,Arthritis,0.9,condition,,". Conversely, vitamin C appears to reduce the cytotoxicity of selenium (7841). Selenium is used for arthritis due to its antioxidant effects. It may reduce inflammation by reducing the cellular concentration o"
selenium,Selenium,INDICATED_FOR,diabetes,Diabetes,0.9,condition,,"tion (113640, 113656). Genetic effects A small clinical study in pregnant patients with gestational diabetes mellitus shows that taking selenium 200 mcg daily for 8 weeks increases genetic expression of perox"
selenium,Selenium,INDICATED_FOR,depression,Depression,0.9,condition,,"). Psychological effects Low levels of selenium appear to be associated with a greater incidence of depression, anxiety, confusion, and hostility. Some researchers think a high dietary or supplemental intake of"
selenium,Selenium,INDICATED_FOR,anxiety,Anxiety,0.9,condition,,"ical effects Low levels of selenium appear to be associated with a greater incidence of depression, anxiety, confusion, and hostility. Some researchers think a high dietary or supplemental intake of selenium"
selenium,Selenium,INDICATED_FOR,cancer,Cancer,0.9,condition,,"ins containing it are catabolized (7834, 9718). Antineoplastic effects Selenium appears to increase cancer cell death by causing apoptosis and by reducing the formation of ROS. The magnitude of the anticanc"
selenium,Selenium,INDICATED_FOR,tumor,Tumor,0.9,condition,,"ikelihood of prostate cancer (8734, 8735, 8736). Higher levels of selenium may slow prostate cancer tumor progression (13257). Selenium seems to accumulate in the prostate, and protect against DNA damage a"
selenium,Selenium,INDICATED_FOR,inflammation,Inflammation,0.85,condition,,ty of selenium (7841). Selenium is used for arthritis due to its antioxidant effects. It may reduce inflammation by reducing the cellular concentration of reactive oxygen species (ROS) (2662). In liver transplant
selenium,Selenium,INDICATED_FOR,infection,Infection,0.85,condition,,sts that deficiency of selenium may increase inflammatory lung damage caused during influenza virus infection (9728). Selenium also might protect patients infected with hepatitis B or C from developing liver c
selenium,Selenium,INDICATED_FOR,alzheimer,Alzheimer,0.9,condition,,here is interest in whether selenium can slow or reverse degenerative neurological diseases such as Alzheimer disease and other dementias by reducing oxidative stress. Some observational research found that ce
selenium,Selenium,INDICATED_FOR,dementia,Dementia,0.9,condition,,"hen compared with baseline (110594). However, observational research failed to find reduced risk of dementia after selenium supplementation (93570). This research was limited due to its short duration and imp"
selenium,Selenium,INDICATED_FOR,cardiovascular-disease,Cardiovascular Disease,0.9,condition,,"ot improve markers of bone turnover when compared with baseline (110592). Cardiovascular effects In cardiovascular disease, selenium may prevent the oxidative modification of low-density lipoproteins (LDLs). Selenium defic"
selenium,Selenium,TREATS_DEFICIENCY,keshan-disease,Keshan Disease,0.9,llm,,"Selenium deficiency has been implicated in the etiology of Keshan disease, an endemic cardiomyopathy observed in China."
vitamin-a,Vitamin A,TREATS,deficiency-in-developing-countries-10558,Deficiency In Developing Countries (10558,0.9,treats,,"icacy or necessity, vitamin E has been added to the intermittent, high doses of vitamin A sometimes used to treat deficiency in developing countries (10558, 10560). Further research is needed to determine whether vitamin E affects the activity of vitamin A"
vitamin-a,Vitamin A,TREATS_DEFICIENCY,deficiency,Deficiency,0.95,deficiency,,"A, all-trans retinol, is the form of retinol in the diet. It reverses signs and symptoms of vitamin A deficiency and is the standard for vitamin A activity (9191). The vitamin A family also includes provitamin A "
vitamin-a,Vitamin A,TREATS_DEFICIENCY,treat-deficiency,Treat Deficiency,0.95,deficiency,," necessity, vitamin E has been added to the intermittent, high doses of vitamin A sometimes used to treat deficiency in developing countries (10558, 10560). Further research is needed to determine whether vitamin E a"
vitamin-a,Vitamin A,TREATS_DEFICIENCY,retinol-deficiency,Retinol Deficiency,0.95,deficiency,,sociated with increased risk of infectious morbidity and mortality (7135). Some research has linked retinol deficiency to development of cervical neoplasms in adults with human immunodeficiency virus (HIV) infection (9
vitamin-a,Vitamin A,INDICATED_FOR,osteoporosis,Osteoporosis,0.9,condition,,"at older people can't metabolize vitamin A as well younger people, which could increase the risk of osteoporosis (9191). Concurrent effects of vitamin E Based on cell culture and animal studies, it's been suggest"
vitamin-a,Vitamin A,INDICATED_FOR,anemia,Anemia,0.9,condition,,8). Hematologic effects Vitamin A is important for the normal utilization of iron and prevention of anemia. Deficiency of vitamin A impairs maturation of hematopoietic cells in the bone marrow. Vitamin A ma
vitamin-a,Vitamin A,INDICATED_FOR,depression,Depression,0.9,condition,,g vitamin A for complications of multiple sclerosis (MS). Certain complications such as fatigue and depression may be secondary to inflammation. Retinoic acids may suppress the proliferation of pathogenic T cel
vitamin-a,Vitamin A,INDICATED_FOR,cancer,Cancer,0.9,condition,,"thesis, cholesterol synthesis, hydroxysteroid metabolism, and glycoprotein glycosylation (15). Anti-cancer effects In vitro studies suggest that retinoids might help prevent cancer by inducing tumor suppres"
vitamin-a,Vitamin A,INDICATED_FOR,tumor,Tumor,0.9,condition,,. Anti-cancer effects In vitro studies suggest that retinoids might help prevent cancer by inducing tumor suppressor genes known as retinoic acid receptors (RAR). Tumor suppressor gene RAR-beta2 is absent 
vitamin-a,Vitamin A,INDICATED_FOR,inflammation,Inflammation,0.85,condition,,"ciency is associated with follicular hyperkeratosis (7135). Topically, retinoids are used to reduce inflammation and to normalize follicular keratinocyte differentiation (82576). Embryonic development In embryoni"
vitamin-a,Vitamin A,INDICATED_FOR,infection,Infection,0.85,condition,,l deficiency to development of cervical neoplasms in adults with human immunodeficiency virus (HIV) infection (9800). Vitamin A deficiency seems to adversely affect fetal immune status. Maternal-fetal transmis
vitamin-a,Vitamin A,INDICATED_FOR,vitamin-a-deficiency,Vitamin A Deficiency,0.9,llm,,Vitamin A reverses signs and symptoms of vitamin A deficiency.
vitamin-a,Vitamin A,HELPS_WITH,immune-function,Immune Function,0.9,llm,,Vitamin A is important for immune function.
vitamin-a,Vitamin A,RELIEVES_SYMPTOM,night-blindness,Night Blindness,0.9,llm,,"The most specific indicator of vitamin A deficiency is xerophthalmia, which is initially manifested by night blindness."
vitamin-b12,Vitamin B12,TREATS_DEFICIENCY,folate-deficiency,Folate Deficiency,0.95,deficiency,,"synthesis. Vitamin B12 is essential for folate utilization, and its absence results in a functional folate deficiency (15). Vitamin B12 deficiency can take months to years to become symptomatic due to large body store"
vitamin-b12,Vitamin B12,TREATS_DEFICIENCY,vitamin-b12-deficiency,Vitamin B12 Deficiency,0.95,deficiency,,"ial for folate utilization, and its absence results in a functional folate deficiency (15). Vitamin B12 deficiency can take months to years to become symptomatic due to large body stores. Normal serum vitamin B12 l"
vitamin-b12,Vitamin B12,TREATS_DEFICIENCY,indicate-deficiency,Indicate Deficiency,0.95,deficiency,,"rmal serum vitamin B12 levels range between 200-900 pg/mL. Serum concentrations less than 200 pg/mL indicate deficiency, and concentrations less than 100 pg/mL usually result in megaloblastic anemia or neurologic damage"
vitamin-b12,Vitamin B12,INDICATED_FOR,anemia,Anemia,0.9,condition,,"0 pg/mL indicate deficiency, and concentrations less than 100 pg/mL usually result in megaloblastic anemia or neurologic damage (15). Vitamin B12 deficiency results in megaloblastic anemia, gastrointestinal"
vitamin-b12,Vitamin B12,INDICATED_FOR,depression,Depression,0.9,condition,,"Neurologic symptoms caused by vitamin B12 deficiency can include neuropsychiatric disorders such as depression (6357), paresthesias, ataxia, memory loss, weakness, and personality and mood changes without anemi"
vitamin-b12,Vitamin B12,INDICATED_FOR,cancer,Cancer,0.9,condition,,"ancer properties (82890), and supplementation of vitamin B12 may have a role in preventing cervical cancer (50130, 34609). However, although some epidemiological research disagrees (9454), most research has"
vitamin-b12,Vitamin B12,INDICATED_FOR,tumor,Tumor,0.9,condition,,"kers (107147). Also, human research suggests that elevated serum vitamin B12 levels associated with tumor markers may indicate poor survival in hepatocellular carcinoma patients (82887). Cardiovascular eff"
vitamin-b12,Vitamin B12,INDICATED_FOR,carcinoma,Carcinoma,0.9,condition,,serum vitamin B12 levels associated with tumor markers may indicate poor survival in hepatocellular carcinoma patients (82887). Cardiovascular effects Vitamin B12 is required in one of the pathways for homocys
vitamin-b12,Vitamin B12,INDICATED_FOR,alzheimer,Alzheimer,0.9,condition,,"s developing age-related macular degeneration (AMD), decreased cognitive function, impaired memory, Alzheimer disease, and vascular dementia (5646, 9330, 9331). Hepatic effects In vitro research shows that vit"
vitamin-b12,Vitamin B12,INDICATED_FOR,dementia,Dementia,0.9,condition,," degeneration (AMD), decreased cognitive function, impaired memory, Alzheimer disease, and vascular dementia (5646, 9330, 9331). Hepatic effects In vitro research shows that vitamin B12 inhibits hepatitis C v"
vitamin-b12,Vitamin B12,INDICATED_FOR,megaloblastic-anemia,Megaloblastic Anemia,0.9,llm,,"Vitamin B12 deficiency results in megaloblastic anemia, gastrointestinal lesions, and neurologic damage."
vitamin-b12,Vitamin B12,INDICATED_FOR,neurologic-damage,Neurologic Damage,0.9,llm,,"Vitamin B12 deficiency results in neurologic damage, beginning with an inability to produce myelin and progressing to degeneration of the axon and nerve head."
vitamin-c,Vitamin C,TREATS_DEFICIENCY,significant-deficiency,Significant Deficiency,0.95,deficiency,,"/dL, excretion of vitamin C greatly increases (1965, 1969). Concentrations below 0.2 mg/dL indicate significant deficiency (1964). Vitamin C deficiency can cause fatigue, personality changes, and decline in psychomotor per"
vitamin-c,Vitamin C,TREATS_DEFICIENCY,c-deficiency,C Deficiency,0.95,deficiency,,"reases (1965, 1969). Concentrations below 0.2 mg/dL indicate significant deficiency (1964). Vitamin C deficiency can cause fatigue, personality changes, and decline in psychomotor performance and motivation withi"
vitamin-c,Vitamin C,TREATS_DEFICIENCY,of-deficiency,Of Deficiency,0.95,deficiency,,"an generally recognized (9810). Since the nonspecific symptom of fatigue is often the first symptom of deficiency, vitamin C depletion may go undiagnosed (9809). Sustained vitamin C deficiency over 3 to 5 months r"
vitamin-c,Vitamin C,TREATS_DEFICIENCY,collagen-deficiency,Collagen Deficiency,0.95,deficiency,,"tlessness, anorexia, irritability, and failure to thrive. Later symptoms result from hemorrhage and collagen deficiency, with seizures, shock, and death if left untreated (1965). Anti-inflammatory effects C-reactive pro"
vitamin-c,Vitamin C,INDICATED_FOR,hypertension,Hypertension,0.9,condition,," species is thought to be a contributing factor to a number of diseases including dementia, asthma, hypertension, osteoarthritis, and cancer. However, in a rat model of exercise under polluted conditions, adminis"
vitamin-c,Vitamin C,INDICATED_FOR,diabetes,Diabetes,0.9,condition,,"ily appears to produce a similar effect (2434). In patients with coronary artery disease and type 2 diabetes, vitamin C 2 grams daily seems to improve endothelium-dependent vasodilation (14009). Vitamin C als"
vitamin-c,Vitamin C,INDICATED_FOR,tumor,Tumor,0.9,condition,,"air pollution (14010, 109466). Vitamin C also seems to reduce other markers of inflammation such as tumor necrosis factor alpha (TNF-alpha) and interleukin-6 (IL-6) in individuals exposed to air pollution "
vitamin-c,Vitamin C,INDICATED_FOR,cancer,Cancer,0.9,condition,,"buting factor to a number of diseases including dementia, asthma, hypertension, osteoarthritis, and cancer. However, in a rat model of exercise under polluted conditions, administration of vitamin C only ve"
vitamin-c,Vitamin C,INDICATED_FOR,lymphoma,Lymphoma,0.9,condition,,the activity of chemotherapy drugs that generate free radicals (391). Preliminary data from a mouse lymphoma model indicate that vitamin C pretreatment reduces the efficacy of doxorubicin (16407). Leukemia an
vitamin-c,Vitamin C,INDICATED_FOR,leukemia,Leukemia,0.9,condition,,se lymphoma model indicate that vitamin C pretreatment reduces the efficacy of doxorubicin (16407). Leukemia and lymphoma cell culture studies also suggest that vitamin C pretreatment can reduce the cytotoxic
vitamin-c,Vitamin C,INDICATED_FOR,inflammation,Inflammation,0.85,condition,,cts C-reactive protein (CRP) is an acute-phase protein that is produced by the liver in response to inflammation. Some research suggests that taking vitamin C 515-2000 mg daily can reduce CRP levels in people who
vitamin-c,Vitamin C,INDICATED_FOR,asthma,Asthma,0.85,condition,,"e oxygen species is thought to be a contributing factor to a number of diseases including dementia, asthma, hypertension, osteoarthritis, and cancer. However, in a rat model of exercise under polluted condi"
vitamin-c,Vitamin C,INDICATED_FOR,infection,Infection,0.85,condition,,otect normal tissues against reactive oxygen species that are produced by phagocytes during a viral infection. It might also enhance the proliferative responses of T-lymphocytes (1988). There is preliminary ev
vitamin-c,Vitamin C,INDICATED_FOR,dementia,Dementia,0.9,condition,,"by reactive oxygen species is thought to be a contributing factor to a number of diseases including dementia, asthma, hypertension, osteoarthritis, and cancer. However, in a rat model of exercise under pollut"
vitamin-c,Vitamin C,INDICATED_FOR,heart-failure,Heart Failure,0.9,condition,,"C to drop by 70% within 24 hours of surgery (102127). Cardiovascular effects In people with chronic heart failure, intra-arterial vitamin C seems to improve endothelial dysfunction and flow-dependent dilation of t"
vitamin-c,Vitamin C,INDICATED_FOR,scurvy,Scurvy,0.9,condition,,"may go undiagnosed (9809). Sustained vitamin C deficiency over 3 to 5 months results in symptomatic scurvy characterized by gingival swelling and bleeding, loosening of the teeth, hyperkeratosis, perifollic"
vitamin-c,Vitamin C,TREATS_DEFICIENCY,vitamin-c-deficiency,Vitamin C Deficiency,0.9,llm,,Concentrations below 0.2 mg/dL indicate significant deficiency.
vitamin-d,Vitamin D,TREATS_DEFICIENCY,d-deficiency,D Deficiency,0.95,deficiency,,"espectively) (6857). Black infants who are exclusively breast-fed are therefore at risk for vitamin D deficiency and rickets, even if they live in sunny climates such as the southern US (6857). Vitamin D suppleme"
vitamin-d,Vitamin D,INDICATED_FOR,diabetes,Diabetes,0.9,condition,,"(109731). Meta-analyses of clinical studies in postmenopausal adults, as well as adults with type 2 diabetes or COVID-19, shows that taking vitamin D reduces CRP levels when compared with control (113583, 115"
vitamin-d,Vitamin D,INDICATED_FOR,osteoporosis,Osteoporosis,0.9,condition,,"ince vitamin D is important for calcium homeostasis and for bone health, it is used to help prevent osteoporosis. Early research suggested serum levels of 25-hydroxy-vitamin D (calcifediol) of at least 16 ng/mL f"
vitamin-d,Vitamin D,INDICATED_FOR,hypertension,Hypertension,0.9,condition,,"in whether a mega-dose of vitamin D can decrease the resting blood pressure in elderly females with hypertension, enhance post-exercise hypotension, and improve autonomic nervous modulation. A small case control "
vitamin-d,Vitamin D,INDICATED_FOR,arthritis,Arthritis,0.9,condition,,"increased vitamin D intake is associated with a lower risk of autoimmune diseases (e.g., rheumatoid arthritis) (12206, 84529, 107184). Additionally, people with autoimmune disease seem to have lower serum vita"
vitamin-d,Vitamin D,INDICATED_FOR,tumor,Tumor,0.9,condition,,"at vitamin D supplementation in adults reduces serum levels of C-reactive protein (CRP), as well as tumor necrosis factor-alpha (TNF-alpha) and malondialdehyde. However, there were no effects on levels of "
vitamin-d,Vitamin D,INDICATED_FOR,cancer,Cancer,0.9,condition,," control. However, there were no differences between groups in BMD of the radius or tibia (100894). Cancer effects There is some epidemiological evidence that people with vitamin D deficiency might be at an"
vitamin-d,Vitamin D,INDICATED_FOR,inflammation,Inflammation,0.85,condition,,"converted to calcitriol by activated macrophages trapped in the pulmonary alveoli and granulomatous inflammation, in addition to the kidneys. This may increase the risk of hypercalcemia (7555, 11881). Anti-inflam"
vitamin-d,Vitamin D,INDICATED_FOR,asthma,Asthma,0.85,condition,,"eron gamma and IL-10 (109044, 112483, 11587). A meta-analysis of clinical research in patients with asthma also shows that taking vitamin D increases levels of IL-10 (114505). It is unclear whether these be"
vitamin-d,Vitamin D,INDICATED_FOR,infection,Infection,0.85,condition,,fects A meta-analysis of animal research suggests that vitamin D improves survival after Plasmodium infection. Researchers theorize that the benefits of vitamin D in animal models of malaria relate to its anti
vitamin-d,Vitamin D,INDICATED_FOR,bronchitis,Bronchitis,0.85,condition,,"espiratory effects There is interest in using vitamin D for improving respiratory disorders such as bronchitis, chronic obstructive pulmonary disorder (COPD), and asthma. Epidemiological evidence suggests that "
vitamin-d,Vitamin D,INDICATED_FOR,cardiovascular-disease,Cardiovascular Disease,0.9,condition,,apoptosis (16882). Cardiovascular effects There is interest in using vitamin D to prevent and treat cardiovascular disease. Vitamin D is thought to play a role in cardiovascular disease by affecting inflammatory mediators 
vitamin-d,Vitamin D,INDICATED_FOR,heart-failure,Heart Failure,0.9,condition,,"phage cholesterol uptake and decrease foam cell formation (16873). Clinical research in adults with heart failure shows that taking vitamin D with calcium reduces serum aldosterone levels, but does not alter serum"
vitamin-d,Vitamin D,INDICATED_FOR,rickets,Rickets,0.9,condition,,"7). Black infants who are exclusively breast-fed are therefore at risk for vitamin D deficiency and rickets, even if they live in sunny climates such as the southern US (6857). Vitamin D supplements may be n"
vitamin-d,Vitamin D,TREATS_DEFICIENCY,vitamin-d-deficiency,Vitamin D Deficiency,0.9,llm,,A blood concentration of 20 ng/mL 25-hydroxyvitamin D is considered the level to meet the bodily needs of 97.5% of the population. Lower amounts are usually considered a 'deficiency'.
vitamin-d,Vitamin D,TREATS_DEFICIENCY,rickets,Rickets,0.85,llm,,Black infants who are exclusively breast-fed are therefore at risk for vitamin D deficiency and rickets.
vitamin-e,Vitamin E,TREATS_DEFICIENCY,k-deficiency,K Deficiency,0.95,deficiency,,"lotting factor production, producing hypoprothrombinemic effects, especially in people with vitamin K deficiency or those who are taking oral anticoagulants (3073, 3074). Mixed tocopherols seem to have a greater "
vitamin-e,Vitamin E,TREATS_DEFICIENCY,e-deficiency,E Deficiency,0.95,deficiency,,"ct as a membrane stabilizer and enzyme repressor in these patients (3356, 6066). Deficiency Vitamin E deficiency is rare and most typically seen in genetic abnormalities that prevent maintenance of normal blood c"
vitamin-e,Vitamin E,TREATS_DEFICIENCY,inapparent-deficiency,Inapparent Deficiency,0.95,deficiency,,"skin tests (5275). For immune function in the elderly, vitamin E supplementation might replenish an inapparent deficiency. Deficiency of vitamin E and other micronutrients are common in apparently well-nourished people ov"
vitamin-e,Vitamin E,INDICATED_FOR,diabetes,Diabetes,0.9,condition,,"sing beta-amyloid damage (4637, 4638, 4639). Anti-diabetic effects Vitamin E might be beneficial in diabetes. Population research shows that higher vitamin E intake is associated with a lower risk of developi"
vitamin-e,Vitamin E,INDICATED_FOR,anemia,Anemia,0.9,condition,,"In premature infants, vitamin E deficiency can cause irritability, edema, thrombosis, and hemolytic anemia (15). Some evidence links asthma to increased oxidative stress and vitamin E deficiency. Epidemiolo"
vitamin-e,Vitamin E,INDICATED_FOR,tumor,Tumor,0.9,condition,,"estly lower inflammatory markers, such as serum C-reactive protein (CRP), interleukin-6 (IL-6), and tumor necrosis factor (TNF)-alpha, when compared with control (104406). A meta-analysis of 11 trials in p"
vitamin-e,Vitamin E,INDICATED_FOR,cancer,Cancer,0.9,condition,,"Increased vitamin E intake has been associated with a reduced risk of various cancers such as renal cancer, bladder cancer, gastric cancer, and many others (3360, 90083, 98262). Theoretically, vitamin E red"
vitamin-e,Vitamin E,INDICATED_FOR,carcinoma,Carcinoma,0.9,condition,,"ES has been shown to inhibit tumor cell growth, primarily by triggering apoptosis in human prostate carcinoma (3361). There is some evidence that the inhibitory effect on cancer cell growth by statin drugs wit"
vitamin-e,Vitamin E,INDICATED_FOR,inflammation,Inflammation,0.85,condition,,"in a dose of 400 IU daily for 2-20 weeks, decreases markers of endothelial dysfunction and vascular inflammation, including intracellular adhesion molecule-1 (ICAM-1) and vascular cell adhesion molecule-1 (VCAM-1"
vitamin-e,Vitamin E,INDICATED_FOR,asthma,Asthma,0.85,condition,,"eficiency can cause irritability, edema, thrombosis, and hemolytic anemia (15). Some evidence links asthma to increased oxidative stress and vitamin E deficiency. Epidemiological and case-control studies ha"
vitamin-e,Vitamin E,INDICATED_FOR,dementia,Dementia,0.9,condition,,"ostaglandins via prevention of phospholipid peroxidation and arachidonic acid release (99367). Anti-dementia effects Vitamin E has been studied for its ability to slow the progression of Alzheimer disease, po"
vitamin-e,Vitamin E,INDICATED_FOR,alzheimer,Alzheimer,0.9,condition,,"99367). Anti-dementia effects Vitamin E has been studied for its ability to slow the progression of Alzheimer disease, possibly due to an interaction with free radicals and a disruption of cellular damage (114"
vitamin-e,Vitamin E,INDICATED_FOR,epilepsy,Epilepsy,0.9,condition,,"e dyskinesia may have decreased levels of vitamin E and vitamin C (3598). Also, in the treatment of epilepsy, vitamin E is primarily used because some patients taking anti-epileptic drugs have decreased blood"
vitamin-e,Vitamin E,INDICATED_FOR,heart-disease,Heart Disease,0.9,condition,,"has been attributed to many conditions for which vitamin E is used, including lipid peroxidation in heart disease (6204). Some preliminary research suggests that vitamin E might inhibit the local inflammatory proc"
vitamin-e,Vitamin E,INDICATED_FOR,cardiovascular-disease,Cardiovascular Disease,0.9,condition,,"not appear to reduce levels of C-reactive protein, a marker of inflammation that is associated with cardiovascular disease, when used in combination with vitamin C and alpha-lipoic acid (14010, 85129). This appears to be a"
zinc,Zinc,TREATS_DEFICIENCY,deficiency,Deficiency,0.95,deficiency,,"ding protein, the transport protein of vitamin A (8630). Without adequate zinc, symptoms of vitamin A deficiency can appear, despite vitamin A supplementation (8630). Meat, seafood, dairy products, nuts, legumes,"
