supplement_id,supplement_name,relation_type,condition_id,condition_name,confidence,extraction_method,source_url,evidence_text
magnesium,Magnesium,INDICATED_FOR,osteoporosis,Osteoporosis,0.9,condition,,"ption of magnesium have also been associated with the development of various disease states such as osteoporosis, hypertension, atherosclerotic vascular disease, cardiomyopathy, diabetes, and stroke (8088, 8099, "
magnesium,Magnesium,INDICATED_FOR,depression,Depression,0.9,condition,," CNS blood flow (9473). Additionally, magnesium may have anticonvulsant actions in eclampsia due to depression of neuromuscular transmission, direct depressant effect on smooth muscle, and CNS depression (6844)"
magnesium,Magnesium,INDICATED_FOR,tumor,Tumor,0.9,condition,,"es not affect levels of serum interleukin (IL)-6, total antioxidant capacity, glutathione (GSH), or tumor necrosis factor (TNF)-alpha (108727). Antidiabetic effects There is some evidence that magnesium pl"
magnesium,Magnesium,INDICATED_FOR,inflammation,Inflammation,0.85,condition,,sol levels (2826). Additional research suggests low serum magnesium is related to low-grade chronic inflammation. Hypomagnesemia is associated with elevated serum concentrations of tumor necrosis factor-alpha and
magnesium,Magnesium,INDICATED_FOR,asthma,Asthma,0.85,condition,,"d that magnesium may improve permanent hearing threshold shifts (NIPTS) (1205, 60813). Pulmonary In asthma, intravenous administration of magnesium might cause bronchodilation (2003, 60889). Renal effects T"
magnesium,Magnesium,INDICATED_FOR,migraine,Migraine,0.9,condition,,"re thought to contribute to the possible effects of magnesium in relieving symptoms associated with migraine headaches, postoperative pain, neuropathic pain, erythromelalgia, Raynaud's Phenomenon, and other v"
magnesium,Magnesium,INDICATED_FOR,heart-failure,Heart Failure,0.9,condition,,"s and within the cell membrane of cardiac and vascular tissues (60920). In patients with congestive heart failure, there is evidence magnesium reduces coronary vascular resistance, increases coronary artery blood "
magnesium,Magnesium,INDICATED_FOR,heart-disease,Heart Disease,0.9,condition,,"s also interest in the effects of magnesium on arterial stiffness, which is a predictor of coronary heart disease and stroke. In overweight adults, taking magnesium 450 mg daily as the citrate, oxide, or sulfate s"
magnesium,Magnesium,INDICATED_FOR,cerebrovascular-accident,Cerebrovascular Accident,0.9,condition,," the effects of magnesium on arterial stiffness, which is a predictor of coronary heart disease and stroke. In overweight adults, taking magnesium 450 mg daily as the citrate, oxide, or sulfate salts for 24"
magnesium,Magnesium,INDICATED_FOR,cardiovascular-disease,Cardiovascular Disease,0.9,condition,,"h CRP levels: females with high dietary magnesium intake have lower levels of CRP, which may reduce cardiovascular disease risk. The relationship is strongest in overweight or obese females (BMI >25) and current or past sm"
magnesium,Magnesium,RELIEVES_SYMPTOM,pain,Pain,0.7,symptom,,"e an antagonist at N-methyl-D-aspartate (NMDA) receptors, which are involved in the potentiation of pain. This effect and magnesium's depressant effects on nerves and smooth muscle are thought to contribu"
magnesium,Magnesium,RELIEVES_SYMPTOM,diarrhea,Diarrhea,0.7,symptom,, the slowest onset and longest duration due to its poor solubility (6844). The laxative effects and diarrhea produced by magnesium salts are due to the osmotic effects of unabsorbed salts in the intestine and
magnesium,Magnesium,RELIEVES_SYMPTOM,headache,Headache,0.7,symptom,,"r vascular disorders and pain syndromes (6846, 6848, 8094). Magnesium might play a role in migraine headache. Low levels of magnesium may induce cerebral arterial vasoconstriction, increase platelet aggregati"
magnesium,Magnesium,RELIEVES_SYMPTOM,weakness,Weakness,0.7,symptom,,"arch setting (8090). Symptoms of severe magnesium deficiency include convulsions; confusion; muscle weakness; abnormal muscle movements such as tremors, myoclonus, and tetany; and arrhythmias including ventri"
magnesium,Magnesium,RELIEVES_SYMPTOM,insomnia,Insomnia,0.7,symptom,,"h muscle, and CNS depression (6844). There is interest in using magnesium for improving symptoms of insomnia and other sleep disturbances. In a small clinical study in elderly patients with primary insomnia, "
magnesium,Magnesium,RELIEVES_SYMPTOM,muscle-weakness,Muscle Weakness,0.7,symptom,,"he research setting (8090). Symptoms of severe magnesium deficiency include convulsions; confusion; muscle weakness; abnormal muscle movements such as tremors, myoclonus, and tetany; and arrhythmias including ventri"
magnesium,Magnesium,RELIEVES,migraine-headaches,Migraine Headaches,0.8,llm,,"Magnesium is reported to be an antagonist at N-methyl-D-aspartate (NMDA) receptors, which are involved in the potentiation of pain."
magnesium,Magnesium,RELIEVES,postoperative-pain,Postoperative Pain,0.7,llm,,Magnesium's depressant effects on nerves and smooth muscle are thought to contribute to the possible effects of magnesium in relieving symptoms associated with postoperative pain.
magnesium,Magnesium,RELIEVES,neuropathic-pain,Neuropathic Pain,0.7,llm,,Magnesium is thought to contribute to the possible effects of magnesium in relieving symptoms associated with neuropathic pain.
magnesium,Magnesium,RELIEVES,raynauds-phenomenon,Raynaud's Phenomenon,0.6,llm,,Magnesium is thought to contribute to the possible effects of magnesium in relieving symptoms associated with Raynaud's Phenomenon.
magnesium,Magnesium,PREVENTS,inflammatory-processes,Inflammatory Processes,0.75,llm,,Magnesium deficiency has been reported to be a trigger for inflammatory processes.
magnesium,Magnesium,HELPS_WITH,type-2-diabetes,Type 2 Diabetes,0.8,llm,,Oral magnesium has been reported to improve glycemic control in some patients with type 2 diabetes.
magnesium,Magnesium,HELPS_WITH,metabolic-syndrome,Metabolic Syndrome,0.7,llm,,Low magnesium levels are associated with an increased risk of metabolic syndrome.
magnesium,Magnesium,MANAGES,hypertension,Hypertension,0.7,llm,,"Magnesium deficiency has been found to increase intracellular concentrations of sodium and potassium, which can lead to increased peripheral resistance and vasospasm."
magnesium,Magnesium,RELIEVES,arrhythmias,Arrhythmias,0.65,llm,,Long-term magnesium deficiency might increase the risk of arrhythmias.
magnesium,Magnesium,HELPS_WITH,premenstrual-syndrome-pms,Premenstrual Syndrome (pms),0.75,llm,,Oral magnesium has been reported to benefit mood changes associated with premenstrual syndrome (PMS).
magnesium,Magnesium,HELPS_WITH,insomnia,Insomnia,0.6,llm,,"Magnesium intake increased levels of melatonin and reduced levels of cortisol, which might contribute to improved sleep."
magnesium,Magnesium,PREVENTS,noiseinduced-hearing-loss,Noise-induced Hearing Loss,0.7,llm,,Oral magnesium treatment has been shown to reduce the incidence of temporary and permanent noise-induced hearing loss.
magnesium,Magnesium,PREVENTS,renal-stone-formation,Renal Stone Formation,0.65,llm,,There is some evidence that magnesium metabolism is a factor in renal stone formation and prevention.
magnesium,Magnesium,TREATS_DEFICIENCY,osteoporosis,Osteoporosis,0.7,llm,,Low intake and impaired absorption of magnesium have also been associated with the development of various disease states such as osteoporosis.
selenium,Selenium,TREATS_DEFICIENCY,selenium-deficiency,Selenium Deficiency,0.95,deficiency,,"scular disease, selenium may prevent the oxidative modification of low-density lipoproteins (LDLs). Selenium deficiency has been implicated in the etiology of Keshan disease, an endemic cardiomyopathy observed in China,"
selenium,Selenium,TREATS_DEFICIENCY,severe-deficiency,Severe Deficiency,0.95,deficiency,,"ina, and congestive cardiomyopathy in people on artificial nutrition (2676, 3341). In children with severe deficiency, Keshan disease may also occur (9718). Research in adults with polycystic ovary syndrome (PCOS) sho"
selenium,Selenium,TREATS_DEFICIENCY,that-deficiency,That Deficiency,0.95,deficiency,,en with selenium may decrease the transmission of AIDS (9720). There is also evidence that suggests that deficiency of selenium may increase inflammatory lung damage caused during influenza virus infection (9728). S
selenium,Selenium,INDICATED_FOR,arthritis,Arthritis,0.9,condition,,". Conversely, vitamin C appears to reduce the cytotoxicity of selenium (7841). Selenium is used for arthritis due to its antioxidant effects. It may reduce inflammation by reducing the cellular concentration o"
selenium,Selenium,INDICATED_FOR,diabetes,Diabetes,0.9,condition,,"tion (113640, 113656). Genetic effects A small clinical study in pregnant patients with gestational diabetes mellitus shows that taking selenium 200 mcg daily for 8 weeks increases genetic expression of perox"
selenium,Selenium,INDICATED_FOR,depression,Depression,0.9,condition,,"). Psychological effects Low levels of selenium appear to be associated with a greater incidence of depression, anxiety, confusion, and hostility. Some researchers think a high dietary or supplemental intake of"
selenium,Selenium,INDICATED_FOR,anxiety,Anxiety,0.9,condition,,"ical effects Low levels of selenium appear to be associated with a greater incidence of depression, anxiety, confusion, and hostility. Some researchers think a high dietary or supplemental intake of selenium"
selenium,Selenium,INDICATED_FOR,cancer,Cancer,0.9,condition,,"ins containing it are catabolized (7834, 9718). Antineoplastic effects Selenium appears to increase cancer cell death by causing apoptosis and by reducing the formation of ROS. The magnitude of the anticanc"
selenium,Selenium,INDICATED_FOR,tumor,Tumor,0.9,condition,,"ikelihood of prostate cancer (8734, 8735, 8736). Higher levels of selenium may slow prostate cancer tumor progression (13257). Selenium seems to accumulate in the prostate, and protect against DNA damage a"
selenium,Selenium,INDICATED_FOR,inflammation,Inflammation,0.85,condition,,ty of selenium (7841). Selenium is used for arthritis due to its antioxidant effects. It may reduce inflammation by reducing the cellular concentration of reactive oxygen species (ROS) (2662). In liver transplant
selenium,Selenium,INDICATED_FOR,infection,Infection,0.85,condition,,sts that deficiency of selenium may increase inflammatory lung damage caused during influenza virus infection (9728). Selenium also might protect patients infected with hepatitis B or C from developing liver c
selenium,Selenium,INDICATED_FOR,alzheimer,Alzheimer,0.9,condition,,here is interest in whether selenium can slow or reverse degenerative neurological diseases such as Alzheimer disease and other dementias by reducing oxidative stress. Some observational research found that ce
selenium,Selenium,INDICATED_FOR,dementia,Dementia,0.9,condition,,"hen compared with baseline (110594). However, observational research failed to find reduced risk of dementia after selenium supplementation (93570). This research was limited due to its short duration and imp"
selenium,Selenium,INDICATED_FOR,cardiovascular-disease,Cardiovascular Disease,0.9,condition,,"ot improve markers of bone turnover when compared with baseline (110592). Cardiovascular effects In cardiovascular disease, selenium may prevent the oxidative modification of low-density lipoproteins (LDLs). Selenium defic"
selenium,Selenium,PREVENTS,prostate-cancer,Prostate Cancer,0.8,llm,,Epidemiological evidence indicates that lower blood selenium concentrations increases the likelihood of prostate cancer. Higher levels of selenium may slow prostate cancer tumor progression.
selenium,Selenium,PREVENTS,colorectal-cancer,Colorectal Cancer,0.7,llm,,"Se-methylselenocysteine found in broccoli, garlic, and onions may be better than supplemental selenite in preventing colonic cancer."
selenium,Selenium,PREVENTS,breast-cancer,Breast Cancer,0.5,llm,,"Preliminary data suggest that supplementing the diet with selenium can reduce the risk for developing breast cancer, but no benefit has been shown in humans."
selenium,Selenium,MANAGES,ovarian-cancer,Ovarian Cancer,0.6,llm,,Selenium administration might inhibit the development of carboplatin resistance in mice with ovarian cancer.
selenium,Selenium,HELPS_WITH,arthritis,Arthritis,0.7,llm,,Selenium is used for arthritis due to its antioxidant effects. It may reduce inflammation by reducing the cellular concentration of reactive oxygen species (ROS).
selenium,Selenium,TREATS_DEFICIENCY,keshan-disease,Keshan Disease,0.9,llm,,"Selenium deficiency has been implicated in the etiology of Keshan disease, an endemic cardiomyopathy observed in China."
selenium,Selenium,TREATS_DEFICIENCY,hypothyroidism,Hypothyroidism,0.8,llm,,"In iodine-deficient people, selenium deficiency can exacerbate hypothyroidism."
selenium,Selenium,HELPS_WITH,aids,AIDS,0.6,llm,,Selenium improves immunologic function by increasing the activity of interleukin-2 (IL-2) and promoting the normal growth and development of T helper cells.
selenium,Selenium,RELIEVES_SYMPTOM,depression,Depression,0.7,llm,,"Low levels of selenium appear to be associated with a greater incidence of depression, anxiety, confusion, and hostility."
selenium,Selenium,MANAGES,oxidative-stress,Oxidative Stress,0.8,llm,,"At plasma concentrations below 1000 mcg/L, selenium activates glutathione peroxidase (GSH-Px), which reduces oxidative stress by handling free radicals and hydrogen peroxide."
vitamin-a,Vitamin A,TREATS,deficiency-in-developing-countries-10558,Deficiency In Developing Countries (10558,0.9,treats,,"icacy or necessity, vitamin E has been added to the intermittent, high doses of vitamin A sometimes used to treat deficiency in developing countries (10558, 10560). Further research is needed to determine whether vitamin E affects the activity of vitamin A"
vitamin-a,Vitamin A,TREATS_DEFICIENCY,deficiency,Deficiency,0.95,deficiency,,"A, all-trans retinol, is the form of retinol in the diet. It reverses signs and symptoms of vitamin A deficiency and is the standard for vitamin A activity (9191). The vitamin A family also includes provitamin A "
vitamin-a,Vitamin A,TREATS_DEFICIENCY,treat-deficiency,Treat Deficiency,0.95,deficiency,," necessity, vitamin E has been added to the intermittent, high doses of vitamin A sometimes used to treat deficiency in developing countries (10558, 10560). Further research is needed to determine whether vitamin E a"
vitamin-a,Vitamin A,TREATS_DEFICIENCY,retinol-deficiency,Retinol Deficiency,0.95,deficiency,,sociated with increased risk of infectious morbidity and mortality (7135). Some research has linked retinol deficiency to development of cervical neoplasms in adults with human immunodeficiency virus (HIV) infection (9
vitamin-a,Vitamin A,INDICATED_FOR,osteoporosis,Osteoporosis,0.9,condition,,"at older people can't metabolize vitamin A as well younger people, which could increase the risk of osteoporosis (9191). Concurrent effects of vitamin E Based on cell culture and animal studies, it's been suggest"
vitamin-a,Vitamin A,INDICATED_FOR,anemia,Anemia,0.9,condition,,8). Hematologic effects Vitamin A is important for the normal utilization of iron and prevention of anemia. Deficiency of vitamin A impairs maturation of hematopoietic cells in the bone marrow. Vitamin A ma
vitamin-a,Vitamin A,INDICATED_FOR,depression,Depression,0.9,condition,,g vitamin A for complications of multiple sclerosis (MS). Certain complications such as fatigue and depression may be secondary to inflammation. Retinoic acids may suppress the proliferation of pathogenic T cel
vitamin-a,Vitamin A,INDICATED_FOR,cancer,Cancer,0.9,condition,,"thesis, cholesterol synthesis, hydroxysteroid metabolism, and glycoprotein glycosylation (15). Anti-cancer effects In vitro studies suggest that retinoids might help prevent cancer by inducing tumor suppres"
vitamin-a,Vitamin A,INDICATED_FOR,tumor,Tumor,0.9,condition,,. Anti-cancer effects In vitro studies suggest that retinoids might help prevent cancer by inducing tumor suppressor genes known as retinoic acid receptors (RAR). Tumor suppressor gene RAR-beta2 is absent 
vitamin-a,Vitamin A,INDICATED_FOR,inflammation,Inflammation,0.85,condition,,"ciency is associated with follicular hyperkeratosis (7135). Topically, retinoids are used to reduce inflammation and to normalize follicular keratinocyte differentiation (82576). Embryonic development In embryoni"
vitamin-a,Vitamin A,INDICATED_FOR,infection,Infection,0.85,condition,,l deficiency to development of cervical neoplasms in adults with human immunodeficiency virus (HIV) infection (9800). Vitamin A deficiency seems to adversely affect fetal immune status. Maternal-fetal transmis
vitamin-a,Vitamin A,RELIEVES_SYMPTOM,fatigue,Fatigue,0.7,symptom,,rest in using vitamin A for complications of multiple sclerosis (MS). Certain complications such as fatigue and depression may be secondary to inflammation. Retinoic acids may suppress the proliferation of p
vitamin-a,Vitamin A,INDICATED_FOR,vitamin-a-deficiency,Vitamin A Deficiency,0.9,llm,,Vitamin A reverses signs and symptoms of vitamin A deficiency.
vitamin-a,Vitamin A,PREVENTS,cancer,Cancer,0.7,llm,,In vitro studies suggest that retinoids might help prevent cancer by inducing tumor suppressor genes.
vitamin-a,Vitamin A,RELIEVES,cancer-cell-growth,Cancer Cell Growth,0.6,llm,,Retinoic acid can suppress growth of cancer cells.
vitamin-a,Vitamin A,MANAGES,osteoporosis,Osteoporosis,0.6,llm,,"Some evidence suggests that older people can't metabolize vitamin A as well younger people, which could increase the risk of osteoporosis."
vitamin-a,Vitamin A,INDICATED_FOR,follicular-hyperkeratosis,Follicular Hyperkeratosis,0.8,llm,,Vitamin A deficiency is associated with follicular hyperkeratosis.
vitamin-a,Vitamin A,PREVENTS,anemia,Anemia,0.8,llm,,Vitamin A is important for the normal utilization of iron and prevention of anemia.
vitamin-a,Vitamin A,HELPS_WITH,immune-function,Immune Function,0.9,llm,,Vitamin A is important for immune function.
vitamin-a,Vitamin A,HELPS_WITH,neural-development,Neural Development,0.8,llm,,Vitamin A plays an important role in neural development.
vitamin-a,Vitamin A,RELIEVES_SYMPTOM,night-blindness,Night Blindness,0.9,llm,,"The most specific indicator of vitamin A deficiency is xerophthalmia, which is initially manifested by night blindness."
vitamin-a,Vitamin A,HELPS_WITH,wound-healing,Wound Healing,0.7,llm,,"Vitamin A stimulates the expression of transforming growth factor-beta (TGF-beta) and insulin-like growth factor (IGF), and increases collagen production, resulting in improved wound healing."
vitamin-b12,Vitamin B12,TREATS_DEFICIENCY,folate-deficiency,Folate Deficiency,0.95,deficiency,,"synthesis. Vitamin B12 is essential for folate utilization, and its absence results in a functional folate deficiency (15). Vitamin B12 deficiency can take months to years to become symptomatic due to large body store"
vitamin-b12,Vitamin B12,TREATS_DEFICIENCY,vitamin-b12-deficiency,Vitamin B12 Deficiency,0.95,deficiency,,"ial for folate utilization, and its absence results in a functional folate deficiency (15). Vitamin B12 deficiency can take months to years to become symptomatic due to large body stores. Normal serum vitamin B12 l"
vitamin-b12,Vitamin B12,TREATS_DEFICIENCY,indicate-deficiency,Indicate Deficiency,0.95,deficiency,,"rmal serum vitamin B12 levels range between 200-900 pg/mL. Serum concentrations less than 200 pg/mL indicate deficiency, and concentrations less than 100 pg/mL usually result in megaloblastic anemia or neurologic damage"
vitamin-b12,Vitamin B12,INDICATED_FOR,anemia,Anemia,0.9,condition,,"0 pg/mL indicate deficiency, and concentrations less than 100 pg/mL usually result in megaloblastic anemia or neurologic damage (15). Vitamin B12 deficiency results in megaloblastic anemia, gastrointestinal"
vitamin-b12,Vitamin B12,INDICATED_FOR,depression,Depression,0.9,condition,,"Neurologic symptoms caused by vitamin B12 deficiency can include neuropsychiatric disorders such as depression (6357), paresthesias, ataxia, memory loss, weakness, and personality and mood changes without anemi"
vitamin-b12,Vitamin B12,INDICATED_FOR,cancer,Cancer,0.9,condition,,"ancer properties (82890), and supplementation of vitamin B12 may have a role in preventing cervical cancer (50130, 34609). However, although some epidemiological research disagrees (9454), most research has"
vitamin-b12,Vitamin B12,INDICATED_FOR,tumor,Tumor,0.9,condition,,"kers (107147). Also, human research suggests that elevated serum vitamin B12 levels associated with tumor markers may indicate poor survival in hepatocellular carcinoma patients (82887). Cardiovascular eff"
vitamin-b12,Vitamin B12,INDICATED_FOR,carcinoma,Carcinoma,0.9,condition,,serum vitamin B12 levels associated with tumor markers may indicate poor survival in hepatocellular carcinoma patients (82887). Cardiovascular effects Vitamin B12 is required in one of the pathways for homocys
vitamin-b12,Vitamin B12,INDICATED_FOR,alzheimer,Alzheimer,0.9,condition,,"s developing age-related macular degeneration (AMD), decreased cognitive function, impaired memory, Alzheimer disease, and vascular dementia (5646, 9330, 9331). Hepatic effects In vitro research shows that vit"
vitamin-b12,Vitamin B12,INDICATED_FOR,dementia,Dementia,0.9,condition,," degeneration (AMD), decreased cognitive function, impaired memory, Alzheimer disease, and vascular dementia (5646, 9330, 9331). Hepatic effects In vitro research shows that vitamin B12 inhibits hepatitis C v"
vitamin-b12,Vitamin B12,RELIEVES_SYMPTOM,weakness,Weakness,0.7,symptom,,"an include neuropsychiatric disorders such as depression (6357), paresthesias, ataxia, memory loss, weakness, and personality and mood changes without anemia (1484, 1485, 3235, 5646). Some neurologic symptoms"
vitamin-b12,Vitamin B12,RELIEVES_SYMPTOM,fatigue,Fatigue,0.7,symptom,, research (90386). Neurological effects Low vitamin B12 levels are possibly associated with chronic fatigue syndrome (6082). Some researchers think that vitamin B12 supplements could help symptoms of chronic
vitamin-b12,Vitamin B12,INDICATED_FOR,megaloblastic-anemia,Megaloblastic Anemia,0.9,llm,,"Vitamin B12 deficiency results in megaloblastic anemia, gastrointestinal lesions, and neurologic damage."
vitamin-b12,Vitamin B12,INDICATED_FOR,neurologic-damage,Neurologic Damage,0.9,llm,,"Vitamin B12 deficiency results in neurologic damage, beginning with an inability to produce myelin and progressing to degeneration of the axon and nerve head."
vitamin-b12,Vitamin B12,RELIEVES_SYMPTOM,depression,Depression,0.8,llm,,Neurologic symptoms caused by vitamin B12 deficiency can include neuropsychiatric disorders such as depression.
vitamin-b12,Vitamin B12,INDICATED_FOR,cognitive-performance-impairment,Cognitive Performance Impairment,0.7,llm,,Vitamin B12 deficiency is associated with impaired cognitive performance in adolescents who have been fed a strict vegetarian diet.
vitamin-b12,Vitamin B12,HELPS_WITH,chronic-fatigue-syndrome,Chronic Fatigue Syndrome,0.6,llm,,Some researchers think that vitamin B12 supplements could help symptoms of chronic fatigue syndrome by correcting red blood cell abnormalities.
vitamin-b12,Vitamin B12,INDICATED_FOR,elevated-homocysteine-levels,Elevated Homocysteine Levels,0.7,llm,,"Elevated homocysteine concentrations are possibly associated with other conditions such as developing age-related macular degeneration, decreased cognitive function, and vascular dementia."
vitamin-b12,Vitamin B12,RELIEVES,hepatitis-c-virus-replication,Hepatitis C Virus Replication,0.5,llm,,In vitro research shows that vitamin B12 inhibits hepatitis C virus replication.
vitamin-b12,Vitamin B12,PREVENTS,alzheimer-disease,Alzheimer Disease,0.6,llm,,"Preliminary clinical research in elderly patients shows that taking B vitamins, including vitamin B12, reduces brain atrophy in areas affected by Alzheimer disease."
vitamin-b12,Vitamin B12,INDICATED_FOR,hearing-loss,Hearing Loss,0.6,llm,,Low vitamin B12 levels have been associated with hearing loss in elderly women.
vitamin-b12,Vitamin B12,RELIEVES,voice-fatigue,Voice Fatigue,0.5,llm,,A small study shows that receiving an intramuscular injection of vitamin B12 tends to improve ease of singing and reduce fatigue.
vitamin-c,Vitamin C,USED_FOR_PROCEDURE,running-seems-to-reduce-postexercise-serum-cortisol-and-cytokines-11961,Running Seems To Reduce Post-exercise Serum Cortisol And Cytokines (11961),0.8,procedure_prep,,uggests vitamin C might help post-race immune suppression. Vitamin C 1500 mg taken daily for 7 days before running seems to reduce post-exercise serum cortisol and cytokines (11961). Gastrointestinal effects A small clinical study in healthy adults shows that supplementation with v
vitamin-c,Vitamin C,TREATS_DEFICIENCY,significant-deficiency,Significant Deficiency,0.95,deficiency,,"/dL, excretion of vitamin C greatly increases (1965, 1969). Concentrations below 0.2 mg/dL indicate significant deficiency (1964). Vitamin C deficiency can cause fatigue, personality changes, and decline in psychomotor per"
vitamin-c,Vitamin C,TREATS_DEFICIENCY,c-deficiency,C Deficiency,0.95,deficiency,,"reases (1965, 1969). Concentrations below 0.2 mg/dL indicate significant deficiency (1964). Vitamin C deficiency can cause fatigue, personality changes, and decline in psychomotor performance and motivation withi"
vitamin-c,Vitamin C,TREATS_DEFICIENCY,of-deficiency,Of Deficiency,0.95,deficiency,,"an generally recognized (9810). Since the nonspecific symptom of fatigue is often the first symptom of deficiency, vitamin C depletion may go undiagnosed (9809). Sustained vitamin C deficiency over 3 to 5 months r"
vitamin-c,Vitamin C,TREATS_DEFICIENCY,collagen-deficiency,Collagen Deficiency,0.95,deficiency,,"tlessness, anorexia, irritability, and failure to thrive. Later symptoms result from hemorrhage and collagen deficiency, with seizures, shock, and death if left untreated (1965). Anti-inflammatory effects C-reactive pro"
